Unnamed: 0,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand.1,period,exponential period,degree,period_nonlinear,actual first rem,Qval
"(285, 2)",15.0,4.0,0.0,3,3.0,3.0,4.0,7.0,0.246596963942,0.75,0.246596963942,3.0,68.291030905299991
"(285, 4)",3.0,1.0,1.0,3,2.0,3.0,4.0,4.0,0.449328964117,0.75,0.449328964117,3.0,118.50878464600001
"(285, 6)",3.0,1.0,1.0,3,2.0,3.0,4.0,4.0,0.449328964117,0.75,0.449328964117,3.0,118.50878464600001
"(286, 1)",0.0,1.5,0.0,3,3.0,7.5,4.0,9.0,0.165298888222,0.0,0.165298888222,3.0,40.600584970999996
"(286, 3)",36.0,0.5,3.0,0,0.0,7.5,4.0,8.0,0.201896517995,0.75,0.201896517995,3.0,60.5689553984
"(286, 4)",36.0,1.0,3.0,0,0.0,7.5,4.0,9.0,0.165298888222,0.75,0.165298888222,3.0,49.589666466499999
"(286, 6)",36.0,1.0,3.0,0,0.0,7.5,4.0,9.0,0.165298888222,0.75,0.165298888222,3.0,49.589666466499999
"(288, 0)",20.0,0.5,2.0,0,0.0,2.5,5.0,3.0,0.548811636094,0.0,0.548811636094,2.0,109.762327219
"(288, 1)",20.0,1.5,2.0,0,0.0,2.5,5.0,4.0,0.449328964117,0.0,0.449328964117,2.0,89.8657928234
"(288, 2)",40.0,4.0,0.0,3,2.0,2.5,5.0,7.0,0.246596963942,0.0,0.246596963942,2.0,98.6387855766
"(288, 3)",20.0,0.5,2.0,0,0.0,2.5,5.0,3.0,0.548811636094,0.0,0.548811636094,2.0,109.762327219
"(288, 5)",40.0,3.0,0.0,3,2.0,2.5,5.0,6.0,0.301194211912,0.0,0.301194211912,2.0,60.238842382399994
"(290, 0)",10.0,0.5,1.0,0,0.0,5.5,5.0,6.0,0.301194211912,0.0,0.301194211912,1.0,30.119421191199997
"(290, 1)",10.0,1.5,1.0,0,0.0,5.5,5.0,7.0,0.246596963942,0.0,0.246596963942,1.0,24.659696394200001
"(290, 4)",20.0,1.0,0.0,3,1.0,5.5,5.0,7.0,0.246596963942,0.0,0.246596963942,1.0,24.659696394200001
"(290, 5)",20.0,3.0,0.0,3,1.0,5.5,5.0,9.0,0.165298888222,0.0,0.165298888222,1.0,16.5298888222
"(295, 1)",20.0,1.5,0.0,3,2.0,6.0,5.0,8.0,0.201896517995,0.0,0.201896517995,2.0,33.059777644299999
"(295, 5)",10.0,3.0,2.0,0,0.0,6.0,5.0,9.0,0.165298888222,0.0,0.165298888222,2.0,33.059777644299999
"(295, 6)",10.0,1.0,2.0,0,0.0,6.0,5.0,7.0,0.246596963942,0.0,0.246596963942,2.0,49.3193927883
"(297, 1)",18.0,1.5,3.0,0,0.0,2.0,4.0,4.0,0.449328964117,1.0,0.449328964117,3.0,134.79868923500001
"(297, 2)",18.0,4.0,2.0,0,0.0,2.0,4.0,6.0,0.301194211912,1.0,0.301194211912,2.0,90.358263573700015
"(297, 4)",18.0,1.0,3.0,0,0.0,2.0,4.0,3.0,0.548811636094,1.0,0.548811636094,3.0,164.64349082799998
