,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,BC_debris,BC_regular,BC_regular_sp,IG_1
"(258, 5)",1,13.0,3.0,3.0,4.5,4.0,0.818730753078,0.367879441171,5.0,4.0,18.0,3.0
"(264, 1)",1,24.0,1.5,3.0,3.5,2.0,0.818730753078,0.449328964117,2.0,2.0,24.0,3.0
"(264, 2)",1,24.0,4.0,3.0,6.0,2.0,0.818730753078,0.301194211912,2.0,2.0,24.0,3.0
"(264, 4)",1,24.0,1.0,3.0,3.0,2.0,0.670320046036,0.548811636094,2.0,2.0,24.0,3.0
"(264, 5)",1,24.0,3.0,3.0,5.0,2.0,0.818730753078,0.367879441171,2.0,2.0,24.0,3.0
"(267, 0)",1,10.0,0.5,1.0,3.0,5.0,0.548811636094,0.548811636094,2.0,2.0,10.0,0.0
"(267, 2)",1,10.0,4.0,1.0,7.5,5.0,0.818730753078,0.201896517995,2.0,2.0,10.0,0.0
"(267, 3)",1,10.0,0.5,1.0,3.0,5.0,0.818730753078,0.548811636094,2.0,2.0,10.0,0.0
"(267, 5)",1,5.0,3.0,1.0,6.5,5.0,0.449328964117,0.246596963942,2.0,2.0,5.0,0.0
"(267, 6)",1,5.0,1.0,1.0,4.5,5.0,0.818730753078,0.367879441171,2.0,2.0,5.0,0.0
"(270, 2)",1,20.0,4.0,2.0,6.5,5.0,0.818730753078,0.246596963942,2.0,2.0,20.0,0.0
"(270, 4)",1,20.0,1.0,2.0,3.5,5.0,0.818730753078,0.449328964117,2.0,2.0,20.0,0.0
"(270, 5)",1,10.0,3.0,2.0,5.5,5.0,0.548811636094,0.301194211912,2.0,2.0,10.0,0.0
"(270, 6)",1,10.0,1.0,2.0,3.5,5.0,0.818730753078,0.449328964117,2.0,2.0,10.0,0.0
"(272, 0)",1,20.0,0.5,2.0,9.0,5.0,0.165298888222,0.165298888222,4.0,2.0,10.0,0.0
"(272, 1)",1,20.0,1.5,2.0,10.0,5.0,0.165298888222,0.135335283237,4.0,2.0,10.0,0.0
"(272, 4)",1,40.0,1.0,2.0,9.5,5.0,0.818730753078,0.135335283237,4.0,2.0,20.0,0.0
"(273, 0)",1,0.0,0.5,1.0,6.0,5.0,0.301194211912,0.301194211912,4.0,2.0,0.0,0.0
"(273, 1)",1,10.0,1.5,1.0,7.0,5.0,0.818730753078,0.246596963942,4.0,2.0,5.0,0.0
"(273, 2)",1,10.0,4.0,1.0,9.5,5.0,0.818730753078,0.135335283237,4.0,2.0,5.0,0.0
"(273, 3)",1,10.0,0.5,1.0,6.0,5.0,0.301194211912,0.301194211912,4.0,2.0,5.0,0.0
"(275, 1)",1,0.0,1.5,3.0,5.0,3.0,0.818730753078,0.367879441171,3.66666666667,4.0,0.0,0.0
"(275, 2)",1,0.0,4.0,3.0,7.5,3.0,0.818730753078,0.201896517995,3.66666666667,4.0,0.0,0.0
"(275, 3)",1,36.0,0.5,3.0,4.0,3.0,0.818730753078,0.449328964117,6.0,4.0,21.0,3.0
"(275, 4)",1,36.0,1.0,3.0,4.5,3.0,0.818730753078,0.367879441171,5.0,4.0,21.0,3.0
"(275, 6)",1,36.0,1.0,3.0,4.5,3.0,0.449328964117,0.367879441171,5.0,4.0,21.0,3.0
"(276, 0)",1,20.0,0.5,2.0,9.5,5.0,0.818730753078,0.135335283237,4.0,2.0,10.0,0.0
"(276, 1)",1,20.0,1.5,2.0,10.5,5.0,0.165298888222,0.110803158362,4.0,2.0,10.0,0.0
"(276, 3)",1,40.0,0.5,2.0,9.5,5.0,0.165298888222,0.135335283237,4.0,2.0,20.0,0.0
"(279, 0)",1,20.0,0.5,2.0,6.5,5.0,0.301194211912,0.246596963942,2.0,2.0,20.0,0.0
"(279, 4)",1,20.0,1.0,2.0,7.0,5.0,0.818730753078,0.246596963942,2.0,2.0,20.0,0.0
"(279, 5)",1,10.0,3.0,2.0,9.0,5.0,0.818730753078,0.165298888222,2.0,2.0,10.0,0.0
"(279, 6)",1,10.0,1.0,2.0,7.0,5.0,0.818730753078,0.246596963942,2.0,2.0,10.0,0.0
